,repositoriy_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,device-management,
31,dmel,Python
32,dmel-demo,HTML
33,dnikit,Python
34,eidas,Go
35,embedding-atlas,TypeScript
36,example-package-fisheryates,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,homebrew-apple,Ruby
43,HomeKitADK,C
44,learning-compressible-subspaces,Python
45,learning-subspaces,Python
46,llvm-monorepo-root,
47,llvm-project-v5,C++
48,llvm-project-v5-split,C++
49,ml-4m,Python
50,ml-acn-embed,Python
51,ml-act,Python
52,ml-ademamix,Python
53,ml-afv,Python
54,ml-agent-evaluator,Jupyter Notebook
55,ml-agm,Python
56,ml-aim,Python
57,ml-all-pairs,Python
58,ml-ane-transformers,Python
59,ml-aspanformer,Python
60,ml-aspera,Python
61,ml-aura,Python
62,ml-autofocusformer,Python
63,ml-autofocusformer-segmentation,Python
64,ml-batchquant,Python
65,ml-behavioral-testing-for-mt,
66,ml-bilevel-train-dist,Python
67,ml-bloop,Python
68,ml-calibration,Jupyter Notebook
69,ml-capsules-inverted-attention-routing,Python
70,ml-cifar-10-faster,Python
71,ml-code-switched-speech-translation,Python
72,ml-codeswitching-translations,
73,ml-collegial-ensembles,Python
74,ml-comotion,Python
75,ml-compress-and-compare,Python
76,ml-core,Python
77,ml-covid-mobility,R
78,ml-cread,Python
79,ml-cross-entropy,Python
80,ml-cubifyanything,Python
81,ml-cvnets,Python
82,ml-cvpr2019-swd,Python
83,ml-dab,Python
84,ml-data-parameters,Python
85,ml-dataset-decomposition,Python
86,ml-delphi,
87,ml-depth-pro,Python
88,ml-destseg,Python
89,ml-diffucoder,Python
90,ml-diffusion-alignment-gflownet,Python
91,ml-direct2.5,Python
92,ml-divide-or-conquer,Python
93,ml-dms-dataset,Python
94,ml-dprecs,Jupyter Notebook
95,ml-dr,Python
96,ml-duet,Python
97,ml-entity-deduction-arena,Python
98,ml-entropy-reconstruction,Python
99,ml-envmapnet,Python
100,ml-equivariant-neural-rendering,Jupyter Notebook
101,ml-facelit,Python
102,ml-famae,Python
103,ml-fastvit,Python
104,ml-fastvlm,Python
105,ml-fct,Python
106,ml-ferret,Python
107,ml-finerecon,Python
108,ml-flair,Jupyter Notebook
109,ml-flextok,Jupyter Notebook
110,ml-gaudi,
111,ml-gbc,Python
112,ml-gendered-translation,Ruby
113,ml-gie-bench,Python
114,ml-gmpi,Python
115,ml-gsm-symbolic,
116,ml-gsn,Python
117,ml-hd-gist,Python
118,ml-heart-rate-models,Python
119,ml-hierarchical-confusion-matrix,TypeScript
120,ml-hugs,Python
121,ml-hypercloning,Python
122,ml-hypersim,Python
123,ml-inrflow,Python
124,ml-interactive-data-augmentation,Svelte
125,ml-internal-llms-instruction-following,Python
126,ml-interspeech2022-phi_rtn,
127,ml-isqoe,Python
128,ml-jointnet,Python
129,ml-key-retrieval-code-tasks,Python
130,ml-keyframer,JavaScript
131,ml-kg-mt,Python
132,ml-kge,Python
133,ml-knowledge-conflicts,Python
134,ml-kpconvx,Python
135,ml-live-pose,
136,ml-llarp,Python
137,ml-lucid-datagen,Python
138,ml-mad-bench,Jupyter Notebook
139,ml-matrix3d,Python
140,ml-mcf,Python
141,ml-mdm,Python
142,ml-mgie,Python
143,ml-mia-bench,Jupyter Notebook
144,ml-MixupMP,Python
145,ml-mkqa,Python
146,ml-mobileclip,Python
147,ml-mobileone,Swift
148,ml-mofi,Python
149,ml-multiple-futures-prediction,Python
150,ml-mycelium,JavaScript
151,ml-ncg,Python
152,ml-negative-sampling,Python
153,ml-neilf,Python
154,ml-neilfpp,Python
155,ml-neuman,Python
156,ml-no-token-left-behind,Jupyter Notebook
157,ml-np-rasp,Python
158,ml-nvas3d,Python
159,ml-ogen,Python
160,ml-pgdvs,Python
161,ml-planner,Python
162,ml-pointconvformer,Python
163,ml-pointersect,Python
164,ml-predict,Python
165,ml-probabilistic-attention,Python
166,ml-projunit,Python
167,ml-qrecc,Python
168,ml-quant,Python
169,ml-recurrent-drafter,Python
170,ml-reed,Python
171,ml-reversal-blessing,Python
172,ml-rlgrad,Python
173,ml-robust-expert-augmentations,Python
174,ml-rpm-bench,Python
175,ml-sad,Python
176,ml-sage-dialog-gen,Python
177,ml-sampleplan,Python
178,ml-selfcond,Python
179,ml-selfreflect,Python
180,ml-shuffling-amplification,Python
181,ml-sigma-reparam,Python
182,ml-sigmoid-attention,Python
183,ml-slowfast-llava,Python
184,ml-space-benchmark,Python
185,ml-spatial-librispeech,
186,ml-speech-is-more-than-words,
